French,English
chercher,search
seulement,only
pensais,thought
mois,month
car,because
laisse,leash
eux,them
chaque,each
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
compris,understood
savais,knew
pourrais,could
affaire,case
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
venu,came
vers,towards
mis,placed
belle,beautiful
boulot,job
dirait,would say
croire,believe
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
